"","Rank","FeeSalary"
"1","1","Salary : ₹ 16.00 Lakh "
"2","2","Salary : ₹ 17.60 Lakh "
"3","3","Salary : ₹ 15.00 Lakh "
"4","4","Salary : ₹ 19.15 Lakh "
"5","5","Salary : ₹ 15.00 Lakh "
"6","6","Salary : ₹ 16.72 Lakh "
"7","7","Salary : ₹ 18.70 Lakh "
"8","8","Salary : ₹ 10.80 Lakh "
"9","9","Salary : ₹ 16.25 Lakh "
"10","10","Salary : ₹ 10.00 Lakh "
"11","11","Salary : ₹ 9.75 Lakh "
"12","12","Salary : ₹ 6.50 Lakh "
"13","13","Salary : ₹ 16.00 Lakh "
"14","14","Salary : ₹ 11.00 Lakh "
"15","15","Salary : ₹ 6.85 Lakh "
"16","16","Salary : ₹ 14.00 Lakh "
"17","17","Salary : ₹ 5.00 Lakh "
"18","18","Salary : ₹ 6.55 Lakh "
"19","20","Salary : ₹ 18.00 Lakh "
"20","21","Salary : ₹ 10.00 Lakh "
"21","22","Salary : ₹ 12.40 Lakh "
"22","23","Salary : ₹ 9.00 Lakh "
"23","24","Salary : ₹ 4.00 Lakh "
"24","25","Salary : ₹ 4.13 Lakh "
"25","26","Salary : ₹ 8.40 Lakh "
"26","27","Salary : ₹ 4.00 Lakh "
"27","28","Salary : ₹ 8.00 Lakh "
"28","29","Salary : ₹ 13.00 Lakh "
"29","30","Salary : ₹ 12.00 Lakh "
"30","31","Salary : ₹ 9.10 Lakh "
"31","32","Salary : ₹ 8.42 Lakh "
"32","33","Salary : ₹ 11.80 Lakh "
"33","34","Salary : ₹ 6.80 Lakh "
"34","35","Salary : ₹ 11.00 Lakh "
"35","36","Salary : ₹ 13.50 Lakh "
"36","37","Salary : ₹ 5.62 Lakh "
"37","38","Salary : ₹ 7.50 Lakh "
"38","39","Salary : ₹ 4.80 Lakh "
"39","40","Salary : ₹ 7.20 Lakh "
"40","41","Salary : ₹ 6.00 Lakh "
